match_id,location,minute,player,position,possession_team,shot_statsbomb_xg,shot_outcome,team,timestamp,type
7563,"[95.0, 51.0]",46,Christian Dannemann Eriksen,Right Center Midfield,France,0.019755723,Blocked,Denmark,00:46:15.027,Shot
7563,"[92.0, 53.0]",50,Antoine Griezmann,Center Attacking Midfield,France,0.021117477,Saved,France,00:05:39.960,Shot
7563,"[81.0, 44.0]",53,Christian Dannemann Eriksen,Right Center Midfield,Denmark,0.008512876,Saved,Denmark,00:08:37.427,Shot
7563,"[92.0, 40.0]",54,Thomas Lemar,Left Wing,France,0.026648624,Blocked,France,00:09:27.307,Shot
7563,"[101.0, 37.0]",58,Christian Dannemann Eriksen,Right Center Midfield,Denmark,0.07888575,Off T,Denmark,00:13:16.707,Shot
7563,"[91.0, 33.0]",62,Viktor Fischer,Left Midfield,Denmark,0.026548343,Blocked,Denmark,00:17:23.227,Shot
7563,"[104.0, 66.0]",65,Henrik Dalsgaard,Right Back,Denmark,0.0052553928,Blocked,Denmark,00:20:58.667,Shot
7563,"[101.0, 19.0]",69,Nabil Fekir,Center Attacking Midfield,France,0.009661348,Off T,France,00:24:29.827,Shot
7563,"[108.0, 33.0]",73,Olivier Giroud,Center Forward,France,0.09807604,Off T,France,00:28:33.280,Shot
7563,"[102.0, 54.0]",78,Olivier Giroud,Center Forward,France,0.03951678,Off T,France,00:33:28.160,Shot
7563,"[96.0, 49.0]",81,Nabil Fekir,Center Attacking Midfield,France,0.031210398,Saved,France,00:36:52.840,Shot
